Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,250,168,92,1211,"78,40","0,000%","47,82858","7,47","6,87","160,0"
user_info_2,250,170,96,266,"40,66","0,000%","46,55493","17,37","35,52","382,0"
user_info_3,250,171,101,267,"40,90","0,000%","46,38219","11,82","35,39","261,0"
object_info_1,250,168,105,263,"40,78","0,000%","46,39080","9,47","7,25","209,0"
object_info_2,250,172,96,1213,"78,51","0,000%","46,63309","17,40","7,38","382,0"
object_info_3,250,166,99,261,"43,63","0,000%","46,65049","15,08","7,38","331,0"
object_info_4,250,165,95,274,"43,81","0,000%","46,02356","9,03","7,28","201,0"
TOTAL,1750,169,92,1213,"54,98","0,000%","284,87710","76,54","93,62","275,1"
