Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,50,119,94,147,"13,99","0,000%","45,08566","7,04","6,47","160,0"
user_info_2,50,121,96,154,"13,26","0,000%","45,41326","16,94","34,59","382,0"
user_info_3,50,120,98,150,"13,75","0,000%","45,78755","11,67","35,01","261,0"
object_info_1,50,117,95,148,"13,72","0,000%","46,51163","9,49","7,27","209,0"
object_info_2,50,117,97,155,"15,41","0,000%","47,25898","17,63","7,48","382,0"
object_info_3,50,114,95,150,"12,91","0,000%","47,48338","15,35","7,51","331,0"
object_info_4,50,134,94,1103,"139,21","0,000%","25,03756","4,91","3,96","201,0"
TOTAL,350,120,94,1103,"54,48","0,000%","128,72380","34,59","42,31","275,1"
